customer_id,first_name,last_name,phone,email,street,city,state,zip_code
552,Lea,Key,,lea.key@yahoo.com,7 Ocean St. ,Banning,CA,92220
657,Sam,Lester,,sam.lester@gmail.com,563 South Beacon Lane ,Baldwin,NY,11510
1280,Jackeline,Colon,,jackeline.colon@msn.com,9916 Cedarwood Drive ,Wappingers Falls,NY,12590
437,Laureen,Barry,,laureen.barry@yahoo.com,909 Ridge St. ,Orchard Park,NY,14127
813,Neville,Mcclain,,neville.mcclain@yahoo.com,781 Buttonwood Ave. ,West Hempstead,NY,11552
1220,Carissa,Cross,,carissa.cross@yahoo.com,9335 West Main Dr. ,Huntington Station,NY,11746
1173,Chanel,May,,chanel.may@msn.com,806 Saxton Court ,Garden City,NY,11530
563,Rodney,Odom,,rodney.odom@yahoo.com,7782 North Deerfield Lane ,Richmond Hill,NY,11418
526,Lazaro,Moran,,lazaro.moran@gmail.com,83 E. Buttonwood Street ,Sugar Land,TX,77478
276,Lavette,Wright,,lavette.wright@msn.com,6 Windsor Street ,Ronkonkoma,NY,11779
1328,Cindie,Franklin,,cindie.franklin@yahoo.com,7249 Franklin St. ,Lawndale,CA,90260
929,Thurman,Ellis,,thurman.ellis@gmail.com,20 Augusta Road ,Pleasanton,CA,94566
1194,Leticia,Snyder,,leticia.snyder@yahoo.com,173 Lyme Dr. ,Pittsford,NY,14534
1165,Rikki,Morrow,(682) 936-1482,rikki.morrow@hotmail.com,7096 Plumb Branch Road ,Fort Worth,TX,76110
1264,Devin,Velazquez,(631) 254-8497,devin.velazquez@aol.com,61 Redwood St. ,Brentwood,NY,11717
763,Han,Schneider,,han.schneider@gmail.com,40 Holly Street ,Elmhurst,NY,11373
205,Harris,Pittman,,harris.pittman@yahoo.com,404 Cherry Hill Road ,Jamaica,NY,11432
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603
951,Steve,Bender,,steve.bender@gmail.com,908 N. Pennington Dr. ,Scarsdale,NY,10583
558,Carroll,Kelly,,carroll.kelly@yahoo.com,346 Grant Circle ,Monroe,NY,10950
727,Kasha,Sullivan,,kasha.sullivan@hotmail.com,48 Foster Rd. ,Scarsdale,NY,10583
363,Kaci,Gallegos,,kaci.gallegos@gmail.com,8573 Halifax St. ,Ballston Spa,NY,12020
1368,Veronique,Fulton,,veronique.fulton@yahoo.com,81 Hilldale Ave. ,Ballston Spa,NY,12020
307,Fransisca,Nicholson,,fransisca.nicholson@aol.com,945 Schoolhouse Street ,Glendora,CA,91740
13,Lashawn,Ortiz,,lashawn.ortiz@msn.com,27 Washington Rd. ,Longview,TX,75604
801,Ophelia,Rodgers,,ophelia.rodgers@gmail.com,133 Joy Ridge Drive ,Hopewell Junction,NY,12533
