customer_id,first_name,last_name,phone,email,street,city,state,zip_code
2,Kasha,Todd,,kasha.todd@yahoo.com,910 Vine Street ,Campbell,CA,95008
3,Tameka,Fisher,,tameka.fisher@aol.com,769C Honey Creek St. ,Redondo Beach,CA,90278
5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,107 River Dr. ,Sacramento,CA,95820
24,Corene,Wall,,corene.wall@msn.com,9601 Ocean Rd. ,Atwater,CA,95301
30,Jamaal,Albert,,jamaal.albert@gmail.com,853 Stonybrook Street ,Torrance,CA,90505
31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,69 Cypress St. ,Oakland,CA,94603
32,Araceli,Golden,,araceli.golden@msn.com,12 Ridgeview Ave. ,Fullerton,CA,92831
33,Deloris,Burke,,deloris.burke@hotmail.com,895 Edgemont Drive ,Palos Verdes Peninsula,CA,90274
40,Ronna,Butler,,ronna.butler@gmail.com,9438 Plymouth Court ,Encino,CA,91316
46,Monika,Berg,,monika.berg@gmail.com,369 Vernon Dr. ,Encino,CA,91316
47,Bridgette,Guerra,,bridgette.guerra@hotmail.com,9982 Manor Drive ,San Lorenzo,CA,94580
53,Saturnina,Garner,,saturnina.garner@gmail.com,8538 Fairground St. ,Glendora,CA,91740
60,Neil,Mccall,,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070
67,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,95820
69,Katelin,Kennedy,,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,CA,95677
72,Petronila,Norris,,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,CA,91733
78,Chi,Goff,,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,CA,90274
81,Zina,Bonner,,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,CA,94580
82,Lizzie,Joyner,,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,CA,92236
87,Yan,Mcgowan,,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,CA,91010
89,Arvilla,Osborn,,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,CA,91784
91,Marvin,Mullins,(619) 635-2027,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,CA,92111
97,Louanne,Martin,,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,CA,95993
104,Katharina,Bates,,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,CA,95008
109,Monica,Sears,(408) 704-8863,monica.sears@aol.com,57 Glenholme St. ,San Jose,CA,95127
110,Ollie,Zimmerman,(657) 648-2863,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,CA,92806
120,Luz,House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street ,Fresno,CA,93706
121,Lucy,Woods,,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,CA,90274
124,Jeni,Booker,,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,CA,91733
138,Jone,Bernard,(657) 536-5165,jone.bernard@hotmail.com,99 Longbranch Court ,Anaheim,CA,92806
151,Joesph,Delacruz,,joesph.delacruz@aol.com,184 Cypress Street ,Atwater,CA,95301
157,Carola,Rodriquez,,carola.rodriquez@hotmail.com,9433 Heritage Lane ,Banning,CA,92220
165,Jeromy,Burch,(408) 955-8238,jeromy.burch@msn.com,889 Mulberry Street ,San Jose,CA,95127
169,Karla,Kirk,,karla.kirk@yahoo.com,9718 Harvard Rd. ,Palos Verdes Peninsula,CA,90274
170,Regine,Gonzales,(805) 763-4045,regine.gonzales@gmail.com,798 Court Drive ,Oxnard,CA,93035
172,Jeanie,Kirkland,,jeanie.kirkland@aol.com,7643 Old Theatre St. ,Santa Clara,CA,95050
175,Nova,Hess,,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010
176,Carley,Reynolds,,carley.reynolds@gmail.com,2 Snake Hill Drive ,South El Monte,CA,91733
181,Olevia,Pitts,,olevia.pitts@gmail.com,39 Fieldstone Drive ,Redondo Beach,CA,90278
187,Hedwig,Paul,,hedwig.paul@msn.com,422 Manor Ave. ,Apple Valley,CA,92307
188,Sharla,Flynn,(805) 478-7724,sharla.flynn@hotmail.com,7 Brown Drive ,Oxnard,CA,93035
191,Graciela,Barber,(805) 656-6987,graciela.barber@hotmail.com,1 E. Young St. ,Oxnard,CA,93035
192,Bong,Hebert,,bong.hebert@gmail.com,545 Brook St. ,Torrance,CA,90505
194,Dorine,Roberson,,dorine.roberson@msn.com,396 Meadowbrook Lane ,Santa Cruz,CA,95060
208,Denis,Logan,,denis.logan@msn.com,121 Rockcrest Street ,Ridgecrest,CA,93555
217,Carline,Collier,(559) 810-6070,carline.collier@msn.com,28 Trenton Lane ,Fresno,CA,93706
224,Moses,Pope,,moses.pope@yahoo.com,654 Theatre Street ,Lawndale,CA,90260
231,Jenee,Rasmussen,(916) 219-1774,jenee.rasmussen@hotmail.com,19 George Lane ,Sacramento,CA,95820
233,Mariana,Strong,,mariana.strong@msn.com,972 Dunbar Dr. ,Santa Clara,CA,95050
237,Elvera,Peck,,elvera.peck@yahoo.com,759 Lakewood Street ,Banning,CA,92220
239,Felice,Guzman,,felice.guzman@hotmail.com,7 Creekside Lane ,Canyon Country,CA,91387
240,Le,Deleon,,le.deleon@msn.com,58 Clark Court ,Banning,CA,92220
242,Rutha,Howell,,rutha.howell@gmail.com,9247 Jones Street ,Canyon Country,CA,91387
244,Jessika,Bray,,jessika.bray@yahoo.com,37 East Greystone St. ,San Pablo,CA,94806
245,Delila,Hamilton,,delila.hamilton@yahoo.com,7451 East James Ave. ,Palos Verdes Peninsula,CA,90274
247,Muriel,Juarez,,muriel.juarez@gmail.com,8073 Cemetery Drive ,Palos Verdes Peninsula,CA,90274
253,Maurice,Norton,,maurice.norton@hotmail.com,32 Mayflower Dr. ,Atwater,CA,95301
254,Cristobal,Hutchinson,,cristobal.hutchinson@gmail.com,58 Washington Avenue ,Lawndale,CA,90260
258,Maribel,William,,maribel.william@aol.com,65 Magnolia Ave. ,Torrance,CA,90505
259,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566
260,Rodrick,Shelton,,rodrick.shelton@hotmail.com,7157 Addison Street ,Canyon Country,CA,91387
261,Ferne,Kline,,ferne.kline@hotmail.com,303 Shady St. ,Fullerton,CA,92831
267,Angelina,Lloyd,,angelina.lloyd@yahoo.com,9593 North Sherman Dr. ,Apple Valley,CA,92307
278,Myesha,Burgess,,myesha.burgess@gmail.com,306 Trenton Rd. ,Campbell,CA,95008
279,Justina,Long,,justina.long@aol.com,39 Littleton Ave. ,South El Monte,CA,91733
282,Randolph,Chase,,randolph.chase@yahoo.com,828 Bridle Ave. ,San Lorenzo,CA,94580
287,Mireille,Puckett,(805) 961-9909,mireille.puckett@hotmail.com,378 Purple Finch Drive ,Oxnard,CA,93035
288,Keturah,Massey,,keturah.massey@msn.com,189 Arnold Drive ,Banning,CA,92220
298,Jennie,Middleton,,jennie.middleton@gmail.com,95 High Noon Dr. ,Upland,CA,91784
300,Rayford,Simon,,rayford.simon@msn.com,998 Whitemarsh Road ,Mountain View,CA,94043
302,Hayden,Cross,,hayden.cross@gmail.com,90 Pumpkin Hill St. ,Apple Valley,CA,92307
305,Hope,Cotton,,hope.cotton@aol.com,9092 Blue Spring Dr. ,Redondo Beach,CA,90278
307,Fransisca,Nicholson,,fransisca.nicholson@aol.com,945 Schoolhouse Street ,Glendora,CA,91740
311,Charise,Burt,(559) 888-2229,charise.burt@aol.com,582 Creek St. ,Fresno,CA,93706
318,Eliz,Whitney,,eliz.whitney@msn.com,523 Crescent Court ,Fullerton,CA,92831
319,Justin,Newton,,justin.newton@hotmail.com,93 Shore Rd. ,Apple Valley,CA,92307
326,Shiela,Calderon,,shiela.calderon@msn.com,844 Albany St. ,Rocklin,CA,95677
332,Reena,Higgins,,reena.higgins@gmail.com,900 South Columbia Street ,Canyon Country,CA,91387
344,Herta,Rollins,,herta.rollins@msn.com,287 1st Drive ,Mountain View,CA,94043
347,Kanesha,Hudson,(510) 788-7298,kanesha.hudson@gmail.com,8293 Gartner Drive ,Oakland,CA,94603
348,Darren,Witt,,darren.witt@aol.com,916 Hillcrest Ave. ,Coachella,CA,92236
