customer_id,customer_name,frequency,recency,monetary
1,Debra Burks,11,2018-11-18,27888.183399999994
2,Kasha Todd,10,2018-04-09,19329.084899999998
3,Tameka Fisher,13,2018-10-21,24051.527899999997
4,Daryl Spence,9,2018-04-18,21150.892699999997
5,Charolette Rice,8,2018-04-17,17520.291899999997
6,Lyndsey Bean,11,2018-09-06,32675.072499999995
7,Latasha Hays,4,2018-06-17,7147.162899999999
8,Jacquline Duncan,3,2018-04-12,2201.6567
9,Genoveva Baldwin,9,2018-04-27,24433.881799999996
10,Pamelia Newman,11,2018-08-23,33634.26039999999
11,Deshawn Mendoza,5,2018-04-26,3690.2361
12,Robby Sykes,8,2018-04-23,24305.1394
13,Lashawn Ortiz,8,2018-04-12,14774.458299999998
14,Garry Espinoza,9,2018-04-22,15766.7006
15,Linnie Branch,7,2018-08-25,9586.801800000001
16,Emmitt Sanchez,12,2018-04-09,31925.885700000003
17,Caren Stephens,7,2018-04-17,5275.327
18,Georgetta Hardin,10,2018-04-14,14877.289
19,Lizzette Stein,9,2018-04-14,16739.9958
20,Aleta Shepard,6,2018-04-12,11102.47
21,Tobie Little,9,2018-04-28,17123.997499999998
22,Adelle Larsen,7,2018-04-08,16651.0484
23,Kaylee English,3,2018-04-01,4775.9635
24,Corene Wall,11,2018-04-23,14199.955800000002
25,Regenia Vaughan,8,2018-04-09,14529.2583
26,Theo Reese,7,2018-04-11,9514.0705
27,Santos Valencia,6,2018-04-01,10719.0988
28,Jeanice Frost,10,2018-04-13,19992.864800000003
29,Syreeta Hendricks,4,2018-04-22,11979.946699999999
30,Jamaal Albert,10,2018-04-18,10355.390800000001
31,Williemae Holloway,9,2018-04-06,19756.6432
32,Araceli Golden,6,2018-04-10,18037.285
33,Deloris Burke,8,2018-07-11,19043.903599999998
34,Brittney Woodward,4,2018-04-14,11035.7581
35,Guillermina Noble,8,2018-04-02,22061.0729
36,Bernita Mcdaniel,3,2018-04-15,6079.942999999999
37,Melia Brady,7,2018-04-12,14011.8265
38,Zelma Browning,6,2018-04-12,21535.6665
39,Janetta Aguirre,7,2018-04-17,17783.487399999998
40,Ronna Butler,10,2018-04-27,17240.562299999998
41,Kathie Freeman,5,2018-04-04,3962.0287
42,Tangela Quinn,7,2018-04-20,9205.1175
43,Mozelle Carter,11,2018-04-29,23049.057
44,Onita Johns,5,2018-04-25,2270.5392
45,Bennett Armstrong,4,2018-04-28,3347.648
46,Monika Berg,7,2018-04-21,8902.506599999999
47,Bridgette Guerra,10,2018-04-11,16935.6408
48,Cesar Jackson,6,2018-04-23,11705.851999999999
49,Caroll Hays,2,2018-04-29,1571.1760000000002
50,Cleotilde Booth,7,2018-04-12,16179.116699999999
51,Gertrud Rhodes,4,2018-04-02,7000.058000000001
52,Tu Ramirez,6,2018-04-06,6467.6551
53,Saturnina Garner,10,2018-07-12,14068.2366
54,Fran Yang,6,2018-04-22,17225.4439
55,Diana Guerra,5,2018-04-30,4183.6207
56,Lolita Mosley,5,2018-04-28,6680.443899999999
57,Pamala Henry,6,2018-04-20,6981.940100000001
58,Damien Dorsey,10,2018-04-16,21514.461499999998
59,Latasha Stanley,8,2018-04-12,13854.6016
60,Neil Mccall,6,2018-04-21,9919.3294
61,Elinore Aguilar,10,2018-04-10,25636.4531
62,Alica Hunter,5,2018-04-01,4122.145399999999
63,Tenisha Lyons,10,2018-04-19,20086.3708
64,Bobbie Foster,10,2018-04-04,8778.1311
65,Kanesha Vega,6,2018-04-20,11151.6045
66,Lorrie Becker,9,2018-04-11,23026.2923
67,Tommie Melton,3,2018-04-17,1472.4724999999999
68,Jayne Kirkland,7,2018-04-09,10802.6294
69,Katelin Kennedy,4,2018-04-05,7568.9310000000005
70,Tomasa Carson,4,2018-04-17,16338.9384
71,Takako Casey,2,2018-04-28,1855.3325
72,Petronila Norris,5,2018-04-21,13914.3345
73,Melanie Hayes,7,2018-04-17,31913.690199999997
74,Georgeann Waller,2,2018-04-30,4036.9719999999998
75,Abby Gamble,7,2018-04-08,32803.0062
76,Parker Prince,8,2018-04-16,7168.477800000001
77,Keri Bridges,6,2018-04-20,8522.9542
78,Chi Goff,4,2018-04-12,3441.2631
79,Ashanti Parks,9,2018-04-15,16025.071499999998
80,Sarai Mckee,6,2018-04-22,9563.3381
81,Zina Bonner,4,2018-04-06,5660.9369
82,Lizzie Joyner,7,2018-04-04,18995.0137
83,Tiesha Daniel,8,2018-04-06,7793.150700000001
84,Armand Whitehead,6,2018-04-02,7154.5445
85,Teofila Fischer,10,2018-04-08,23195.075399999998
86,Lissa Vargas,7,2018-04-05,12551.997000000001
87,Yan Mcgowan,6,2018-04-10,13546.9484
88,Titus Bullock,5,2018-04-20,9805.2464
89,Arvilla Osborn,3,2018-04-21,10805.3354
90,Marjorie Logan,7,2018-04-29,8956.785
91,Marvin Mullins,6,2018-04-17,18856.877
92,Tena Cruz,5,2018-04-08,3037.1355
93,Corrina Sawyer,8,2018-04-23,25612.702100000002
94,Sharyn Hopkins,10,2018-04-01,34807.93919999999
95,Letitia Franco,3,2017-03-29,12433.4557
96,Floretta Higgins,2,2016-12-10,7681.124
97,Louanne Martin,3,2018-04-11,6450.9529
98,Violet Valenzuela,3,2016-04-23,2546.4665000000005
99,Carie Kidd,5,2016-04-10,5431.8955
100,Kellie Franco,1,2018-02-25,5399.982
101,Nichelle Howell,2,2016-09-21,1405.962
102,Marisol Goodman,2,2016-12-06,3121.132
103,Sylvie Wilkerson,2,2016-08-30,2718.3920000000003
104,Katharina Bates,7,2018-04-24,11776.4101
105,Marget Hodge,4,2016-05-05,12461.5479
106,Raul Melendez,3,2017-08-17,2770.9629999999997
107,Cecil Hopper,4,2016-06-06,6961.091699999999
108,Shae Hickman,3,2017-12-14,18281.4729
109,Monica Sears,7,2018-04-26,17193.9034
110,Ollie Zimmerman,5,2018-04-13,5371.338
111,Shila White,2,2016-10-21,6177.772499999999
112,Yuk Vega,4,2018-03-30,7952.046399999999
