order_id,customer_name,product_name,quantity,store_name
1,Johnathan Velazquez,Trek Fuel EX 8 29 - 2016,1,Santa Cruz Bikes
1,Johnathan Velazquez,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
1,Johnathan Velazquez,Surly Straggler - 2016,2,Santa Cruz Bikes
1,Johnathan Velazquez,Electra Townie Original 7D EQ - 2016,2,Santa Cruz Bikes
1,Johnathan Velazquez,Electra Townie Original 7D EQ - Women's - 2016,1,Santa Cruz Bikes
2,Jaqueline Cummings,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
2,Jaqueline Cummings,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
3,Joshua Robertson,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
3,Joshua Robertson,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
4,Nova Hess,Ritchey Timberwolf Frameset - 2016,2,Santa Cruz Bikes
5,Arla Ellis,Surly Straggler - 2016,2,Baldwin Bikes
5,Arla Ellis,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
5,Arla Ellis,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
6,Sharyn Hopkins,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
6,Sharyn Hopkins,Trek Conduit+ - 2016,2,Baldwin Bikes
6,Sharyn Hopkins,Electra Townie Original 21D - 2016,2,Baldwin Bikes
6,Sharyn Hopkins,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
6,Sharyn Hopkins,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
7,Laureen Paul,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
7,Laureen Paul,Electra Moto 1 - 2016,1,Baldwin Bikes
7,Laureen Paul,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
8,Leslie Higgins,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
8,Leslie Higgins,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
9,Neil Mccall,Trek Slash 8 27.5 - 2016,2,Santa Cruz Bikes
10,Alane Munoz,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
11,Tarra Guerrero,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
11,Tarra Guerrero,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
11,Tarra Guerrero,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
12,Marvin Mullins,Trek Fuel EX 8 29 - 2016,2,Santa Cruz Bikes
12,Marvin Mullins,Surly Straggler 650b - 2016,1,Santa Cruz Bikes
13,Patience Clayton,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
13,Patience Clayton,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
