customer_id,first_name,last_name,total_value
94,Sharyn,Hopkins,34807.93919999999
10,Pamelia,Newman,33634.26039999999
75,Abby,Gamble,32803.0062
6,Lyndsey,Bean,32675.072499999995
16,Emmitt,Sanchez,31925.885700000003
73,Melanie,Hayes,31913.690199999997
1,Debra,Burks,27888.183399999994
61,Elinore,Aguilar,25636.4531
93,Corrina,Sawyer,25612.702100000002
122,Shena,Carter,24890.6244
1224,Abram,Copeland,24607.0261
9,Genoveva,Baldwin,24433.881799999996
12,Robby,Sykes,24305.1394
3,Tameka,Fisher,24051.527899999997
85,Teofila,Fischer,23195.075399999998
43,Mozelle,Carter,23049.057
66,Lorrie,Becker,23026.2923
35,Guillermina,Noble,22061.0729
38,Zelma,Browning,21535.6665
58,Damien,Dorsey,21514.461499999998
4,Daryl,Spence,21150.892699999997
1214,Brigid,Sharp,20648.9537
425,Augustina,Joyner,20509.4254
238,Cindi,Larson,20177.7457
63,Tenisha,Lyons,20086.3708
28,Jeanice,Frost,19992.864800000003
31,Williemae,Holloway,19756.6432
1023,Adena,Blake,19329.9492
2,Kasha,Todd,19329.084899999998
33,Deloris,Burke,19043.903599999998
82,Lizzie,Joyner,18995.0137
91,Marvin,Mullins,18856.877
464,Bess,Mcbride,18853.354399999997
1100,Penny,Acevedo,18670.928799999998
227,Danielle,Bond,18553.73
108,Shae,Hickman,18281.4729
1007,Jimmy,Russell,18278.9436
525,Andreas,Mayer,18114.9309
32,Araceli,Golden,18037.285
157,Carola,Rodriquez,17861.1996
289,Charmain,Webster,17834.9634
39,Janetta,Aguirre,17783.487399999998
1037,Ashanti,Hammond,17758.349
182,Jenniffer,Bullock,17746.5951
1005,Ruthanne,Franco,17611.957000000002
607,Paul,Lester,17580.7168
5,Charolette,Rice,17520.291899999997
1421,Edris,Barrett,17494.9405
339,Tamela,Harrell,17479.957000000002
383,Ashlee,Pena,17305.9384
40,Ronna,Butler,17240.562299999998
54,Fran,Yang,17225.4439
109,Monica,Sears,17193.9034
21,Tobie,Little,17123.997499999998
1391,Sheryl,Chase,17086.934299999997
153,Laraine,Robbins,17068.4922
976,Ayanna,Cherry,16950.076999999997
47,Bridgette,Guerra,16935.6408
651,Laure,Pena,16890.1469
534,Alejandro,Haney,16846.953999999998
119,Thalia,Dillard,16764.1256
19,Lizzette,Stein,16739.9958
22,Adelle,Larsen,16651.0484
1382,Wynona,Douglas,16491.52
184,Klara,Stanley,16436.065000000002
70,Tomasa,Carson,16338.9384
50,Cleotilde,Booth,16179.116699999999
79,Ashanti,Parks,16025.071499999998
971,Samual,Warner,15876.4261
172,Jeanie,Kirkland,15841.0992
14,Garry,Espinoza,15766.7006
1199,Consuela,Collier,15455.624999999998
908,Delmar,Wise,15439.946799999998
809,Elnora,Simpson,15416.1565
136,Sarita,Parks,15314.013200000001
1132,Parthenia,Holman,15205.9284
840,Gilbert,Calhoun,15097.905999999999
531,Kimberely,Bowen,15087.2644
195,Addie,Hahn,14935.0311
18,Georgetta,Hardin,14877.289
13,Lashawn,Ortiz,14774.458299999998
374,Candelaria,Coffey,14735.4152
663,Alissa,Hood,14567.157
1131,Desmond,Rose,14566.4345
25,Regenia,Vaughan,14529.2583
263,Dortha,Jarvis,14405.0464
904,Jana,Thomas,14397.1379
1171,Earlean,Pena,14249.6462
192,Bong,Hebert,14208.388099999998
24,Corene,Wall,14199.955800000002
167,Loreta,Johnston,14172.218499999999
1020,Lorraine,Marks,14141.339399999999
53,Saturnina,Garner,14068.2366
37,Melia,Brady,14011.8265
292,Monty,Frost,13947.544899999999
72,Petronila,Norris,13914.3345
59,Latasha,Stanley,13854.6016
692,Dorothea,Chang,13821.530999999999
170,Regine,Gonzales,13801.2997
123,Robena,Hill,13783.7813
296,Sophia,Mcmillan,13773.627700000001
1063,Tammy,Austin,13765.546799999998
169,Karla,Kirk,13678.357
187,Hedwig,Paul,13611.6259
87,Yan,Mcgowan,13546.9484
734,Alina,Mcleod,13287.526199999998
503,Marlo,Jefferson,13242.962
595,Frederica,Rojas,13191.9384
681,Reatha,Perez,13130.8288
883,Gilberte,Duke,13107.441
226,Kiana,Rivera,13033.596099999999
175,Nova,Hess,13023.926
1438,Lee,Dunn,12980.938699999999
441,Dorthea,Walker,12965.7468
310,Gilberto,Parsons,12935.949399999998
140,Cleopatra,Tate,12909.9214
803,Bernardina,Cooper,12867.958
231,Jenee,Rasmussen,12861.8789
116,Merlene,Vinson,12793.633699999998
1070,Olimpia,Mays,12774.245099999998
334,Somer,Jordan,12663.956
1403,Mila,Moody,12595.073
86,Lissa,Vargas,12551.997000000001
700,Collene,Knox,12541.763399999998
105,Marget,Hodge,12461.5479
95,Letitia,Franco,12433.4557
1237,Luke,Kramer,12420.713
1086,Cori,Schwartz,12400.848
1090,Ira,Erickson,12392.9547
1258,Todd,Waters,12381.8274
203,Minerva,Decker,12369.6265
1103,Ardelia,Cooley,12334.956999999999
194,Dorine,Roberson,12320.120700000001
1332,Novella,Ross,12307.9627
690,Yevette,Elliott,12104.786
905,Hae,Ramirez,12089.981399999999
135,Dorthey,Jackson,12026.9409
138,Jone,Bernard,12010.496899999998
1195,Chantell,Bridges,11993.972
29,Syreeta,Hendricks,11979.946699999999
330,Sheba,Knapp,11972.927099999999
1019,Janie,Herrera,11950.476599999998
165,Jeromy,Burch,11907.9041
322,Merideth,Preston,11832.453899999999
747,Margret,Barnett,11831.3359
509,Terra,Pickett,11787.5533
104,Katharina,Bates,11776.4101
48,Cesar,Jackson,11705.851999999999
473,Lashawna,Richardson,11596.428899999999
871,Erlinda,Humphrey,11588.647399999998
583,Lashandra,Turner,11578.6544
627,Deloris,Larson,11479.5394
275,Pinkie,Kirkland,11476.5364
224,Moses,Pope,11471.895400000001
462,Efren,Oliver,11463.957999999999
350,Christoper,Mccall,11462.5954
1136,Kallie,Best,11428.653
541,Lanita,Burton,11406.4285
375,Yan,Trevino,11391.43
415,Gwendolyn,Miller,11349.9574
780,Ouida,Gregory,11314.072999999999
1284,Shanice,Spears,11299.972
1423,Dollie,Cervantes,11238.6544
547,Tena,Huber,11183.0434
1348,Yvone,Guerrero,11183.0335
65,Kanesha,Vega,11151.6045
880,Phebe,Turner,11120.3254
20,Aleta,Shepard,11102.47
798,Alyse,Jacobson,11062.417099999999
295,Danny,Kim,11055.941
609,Eliana,Reese,11035.847999999998
34,Brittney,Woodward,11035.7581
159,Regina,Burns,11013.9345
783,Celestine,Kent,10998.0295
997,Trinidad,Mcclain,10986.904
810,Ivelisse,Nixon,10951.5614
196,Edythe,Valencia,10949.946799999998
245,Delila,Hamilton,10869.9637
