customer_id,first_name,last_name,recency_score,frequency_score,monetary_score,rfm_score,customer_segment
322,Merideth,Preston,5,5,5,5.0,Platinum
203,Minerva,Decker,5,5,5,5.0,Platinum
425,Augustina,Joyner,5,5,5,5.0,Platinum
904,Jana,Thomas,5,5,5,5.0,Platinum
905,Hae,Ramirez,5,5,5,5.0,Platinum
1258,Todd,Waters,5,5,5,5.0,Platinum
594,Deanne,Parsons,5,5,5,5.0,Platinum
1037,Ashanti,Hammond,5,5,5,5.0,Platinum
247,Muriel,Juarez,5,5,5,5.0,Platinum
464,Bess,Mcbride,5,5,5,5.0,Platinum
1214,Brigid,Sharp,5,5,5,5.0,Platinum
1010,Katia,Henry,5,5,5,5.0,Platinum
310,Gilberto,Parsons,5,5,5,5.0,Platinum
122,Shena,Carter,5,5,5,5.0,Platinum
1007,Jimmy,Russell,5,5,5,5.0,Platinum
983,Marguerite,Berger,5,5,5,5.0,Platinum
547,Tena,Huber,5,5,5,5.0,Platinum
920,James,Robles,5,5,5,5.0,Platinum
1171,Earlean,Pena,5,5,5,5.0,Platinum
1005,Ruthanne,Franco,5,5,5,5.0,Platinum
838,Erna,Sloan,5,5,5,5.0,Platinum
126,Lavina,Dejesus,5,5,5,5.0,Platinum
195,Addie,Hahn,5,5,5,5.0,Platinum
595,Frederica,Rojas,5,5,5,5.0,Platinum
463,Jerlene,Rios,5,5,5,5.0,Platinum
263,Dortha,Jarvis,5,5,5,5.0,Platinum
330,Sheba,Knapp,5,5,5,5.0,Platinum
296,Sophia,Mcmillan,5,5,5,5.0,Platinum
1131,Desmond,Rose,5,5,5,5.0,Platinum
692,Dorothea,Chang,5,5,5,5.0,Platinum
738,Fannie,Jenkins,5,5,5,5.0,Platinum
27,Santos,Valencia,5,5,5,5.0,Platinum
94,Sharyn,Hopkins,5,5,5,5.0,Platinum
35,Guillermina,Noble,5,5,5,5.0,Platinum
194,Dorine,Roberson,5,5,5,5.0,Platinum
82,Lizzie,Joyner,5,5,5,5.0,Platinum
64,Bobbie,Foster,5,5,5,5.0,Platinum
86,Lissa,Vargas,5,5,5,5.0,Platinum
120,Luz,House,5,5,5,5.0,Platinum
31,Williemae,Holloway,5,5,5,5.0,Platinum
22,Adelle,Larsen,5,5,5,5.0,Platinum
85,Teofila,Fischer,5,5,5,5.0,Platinum
75,Abby,Gamble,5,5,5,5.0,Platinum
25,Regenia,Vaughan,5,5,5,5.0,Platinum
68,Jayne,Kirkland,5,5,5,5.0,Platinum
2,Kasha,Todd,5,5,5,5.0,Platinum
16,Emmitt,Sanchez,5,5,5,5.0,Platinum
87,Yan,Mcgowan,5,5,5,5.0,Platinum
32,Araceli,Golden,5,5,5,5.0,Platinum
61,Elinore,Aguilar,5,5,5,5.0,Platinum
26,Theo,Reese,5,5,5,5.0,Platinum
175,Nova,Hess,5,5,5,5.0,Platinum
47,Bridgette,Guerra,5,5,5,5.0,Platinum
66,Lorrie,Becker,5,5,5,5.0,Platinum
59,Latasha,Stanley,5,5,5,5.0,Platinum
37,Melia,Brady,5,5,5,5.0,Platinum
38,Zelma,Browning,5,5,5,5.0,Platinum
20,Aleta,Shepard,5,5,5,5.0,Platinum
13,Lashawn,Ortiz,5,5,5,5.0,Platinum
50,Cleotilde,Booth,5,5,5,5.0,Platinum
28,Jeanice,Frost,5,5,5,5.0,Platinum
34,Brittney,Woodward,5,5,5,5.0,Platinum
18,Georgetta,Hardin,5,5,5,5.0,Platinum
19,Lizzette,Stein,5,5,5,5.0,Platinum
79,Ashanti,Parks,5,5,5,5.0,Platinum
116,Merlene,Vinson,5,5,5,5.0,Platinum
187,Hedwig,Paul,5,5,5,5.0,Platinum
58,Damien,Dorsey,5,5,5,5.0,Platinum
169,Karla,Kirk,5,5,5,5.0,Platinum
170,Regine,Gonzales,5,5,5,5.0,Platinum
70,Tomasa,Carson,5,5,5,5.0,Platinum
39,Janetta,Aguirre,5,5,5,5.0,Platinum
91,Marvin,Mullins,5,5,5,5.0,Platinum
73,Melanie,Hayes,5,5,5,5.0,Platinum
5,Charolette,Rice,5,5,5,5.0,Platinum
172,Jeanie,Kirkland,5,5,5,5.0,Platinum
30,Jamaal,Albert,5,5,5,5.0,Platinum
4,Daryl,Spence,5,5,5,5.0,Platinum
63,Tenisha,Lyons,5,5,5,5.0,Platinum
42,Tangela,Quinn,5,5,5,5.0,Platinum
88,Titus,Bullock,5,5,5,5.0,Platinum
65,Kanesha,Vega,5,5,5,5.0,Platinum
77,Keri,Bridges,5,5,5,5.0,Platinum
60,Neil,Mccall,5,5,5,5.0,Platinum
89,Arvilla,Osborn,5,5,5,5.0,Platinum
72,Petronila,Norris,5,5,5,5.0,Platinum
192,Bong,Hebert,5,5,5,5.0,Platinum
46,Monika,Berg,5,5,5,5.0,Platinum
80,Sarai,Mckee,5,5,5,5.0,Platinum
29,Syreeta,Hendricks,5,5,5,5.0,Platinum
54,Fran,Yang,5,5,5,5.0,Platinum
14,Garry,Espinoza,5,5,5,5.0,Platinum
224,Moses,Pope,5,5,5,5.0,Platinum
48,Cesar,Jackson,5,5,5,5.0,Platinum
93,Corrina,Sawyer,5,5,5,5.0,Platinum
24,Corene,Wall,5,5,5,5.0,Platinum
12,Robby,Sykes,5,5,5,5.0,Platinum
104,Katharina,Bates,5,5,5,5.0,Platinum
240,Le,Deleon,5,5,5,5.0,Platinum
231,Jenee,Rasmussen,5,5,5,5.0,Platinum
109,Monica,Sears,5,5,5,5.0,Platinum
157,Carola,Rodriquez,5,5,5,5.0,Platinum
165,Jeromy,Burch,5,5,5,5.0,Platinum
138,Jone,Bernard,5,5,5,5.0,Platinum
40,Ronna,Butler,5,5,5,5.0,Platinum
9,Genoveva,Baldwin,5,5,5,5.0,Platinum
