customer_id,first_name,last_name,email,number_of_categories
9,Genoveva,Baldwin,genoveva.baldwin@msn.com,7
1,Debra,Burks,debra.burks@yahoo.com,6
4,Daryl,Spence,daryl.spence@aol.com,6
6,Lyndsey,Bean,lyndsey.bean@hotmail.com,6
18,Georgetta,Hardin,georgetta.hardin@aol.com,6
25,Regenia,Vaughan,regenia.vaughan@gmail.com,6
28,Jeanice,Frost,jeanice.frost@hotmail.com,6
37,Melia,Brady,melia.brady@gmail.com,6
39,Janetta,Aguirre,janetta.aguirre@aol.com,6
47,Bridgette,Guerra,bridgette.guerra@hotmail.com,6
53,Saturnina,Garner,saturnina.garner@gmail.com,6
66,Lorrie,Becker,lorrie.becker@yahoo.com,6
91,Marvin,Mullins,marvin.mullins@aol.com,6
120,Luz,House,luz.house@gmail.com,6
123,Robena,Hill,robena.hill@hotmail.com,6
194,Dorine,Roberson,dorine.roberson@msn.com,6
2,Kasha,Todd,kasha.todd@yahoo.com,5
3,Tameka,Fisher,tameka.fisher@aol.com,5
5,Charolette,Rice,charolette.rice@msn.com,5
10,Pamelia,Newman,pamelia.newman@gmail.com,5
12,Robby,Sykes,robby.sykes@hotmail.com,5
13,Lashawn,Ortiz,lashawn.ortiz@msn.com,5
14,Garry,Espinoza,garry.espinoza@hotmail.com,5
21,Tobie,Little,tobie.little@gmail.com,5
26,Theo,Reese,theo.reese@gmail.com,5
33,Deloris,Burke,deloris.burke@hotmail.com,5
35,Guillermina,Noble,guillermina.noble@msn.com,5
38,Zelma,Browning,zelma.browning@aol.com,5
50,Cleotilde,Booth,cleotilde.booth@gmail.com,5
58,Damien,Dorsey,damien.dorsey@yahoo.com,5
59,Latasha,Stanley,latasha.stanley@gmail.com,5
61,Elinore,Aguilar,elinore.aguilar@msn.com,5
65,Kanesha,Vega,kanesha.vega@gmail.com,5
73,Melanie,Hayes,melanie.hayes@msn.com,5
75,Abby,Gamble,abby.gamble@aol.com,5
76,Parker,Prince,parker.prince@hotmail.com,5
79,Ashanti,Parks,ashanti.parks@hotmail.com,5
82,Lizzie,Joyner,lizzie.joyner@msn.com,5
85,Teofila,Fischer,teofila.fischer@aol.com,5
87,Yan,Mcgowan,yan.mcgowan@msn.com,5
92,Tena,Cruz,tena.cruz@yahoo.com,5
93,Corrina,Sawyer,corrina.sawyer@yahoo.com,5
109,Monica,Sears,monica.sears@aol.com,5
135,Dorthey,Jackson,dorthey.jackson@msn.com,5
136,Sarita,Parks,sarita.parks@msn.com,5
153,Laraine,Robbins,laraine.robbins@yahoo.com,5
157,Carola,Rodriquez,carola.rodriquez@hotmail.com,5
163,Margert,Stevens,margert.stevens@aol.com,5
192,Bong,Hebert,bong.hebert@gmail.com,5
217,Carline,Collier,carline.collier@msn.com,5
224,Moses,Pope,moses.pope@yahoo.com,5
226,Kiana,Rivera,kiana.rivera@gmail.com,5
227,Danielle,Bond,danielle.bond@msn.com,5
231,Jenee,Rasmussen,jenee.rasmussen@hotmail.com,5
296,Sophia,Mcmillan,sophia.mcmillan@msn.com,5
425,Augustina,Joyner,augustina.joyner@aol.com,5
809,Elnora,Simpson,elnora.simpson@yahoo.com,5
859,Julianne,Shannon,julianne.shannon@hotmail.com,5
871,Erlinda,Humphrey,erlinda.humphrey@hotmail.com,5
904,Jana,Thomas,jana.thomas@yahoo.com,5
984,Ivette,Warren,ivette.warren@gmail.com,5
1415,Harold,O'connor,harold.o'connor@gmail.com,5
1443,Lezlie,Lamb,lezlie.lamb@gmail.com,5
7,Latasha,Hays,latasha.hays@hotmail.com,4
15,Linnie,Branch,linnie.branch@gmail.com,4
16,Emmitt,Sanchez,emmitt.sanchez@hotmail.com,4
17,Caren,Stephens,caren.stephens@msn.com,4
19,Lizzette,Stein,lizzette.stein@yahoo.com,4
20,Aleta,Shepard,aleta.shepard@aol.com,4
22,Adelle,Larsen,adelle.larsen@gmail.com,4
24,Corene,Wall,corene.wall@msn.com,4
27,Santos,Valencia,santos.valencia@yahoo.com,4
29,Syreeta,Hendricks,syreeta.hendricks@msn.com,4
30,Jamaal,Albert,jamaal.albert@gmail.com,4
31,Williemae,Holloway,williemae.holloway@msn.com,4
32,Araceli,Golden,araceli.golden@msn.com,4
42,Tangela,Quinn,tangela.quinn@aol.com,4
43,Mozelle,Carter,mozelle.carter@aol.com,4
46,Monika,Berg,monika.berg@gmail.com,4
54,Fran,Yang,fran.yang@hotmail.com,4
55,Diana,Guerra,diana.guerra@hotmail.com,4
62,Alica,Hunter,alica.hunter@hotmail.com,4
63,Tenisha,Lyons,tenisha.lyons@aol.com,4
68,Jayne,Kirkland,jayne.kirkland@hotmail.com,4
72,Petronila,Norris,petronila.norris@aol.com,4
77,Keri,Bridges,keri.bridges@gmail.com,4
80,Sarai,Mckee,sarai.mckee@msn.com,4
