customer_id,first_name,last_name
1,Debra,Burks
2,Kasha,Todd
3,Tameka,Fisher
4,Daryl,Spence
5,Charolette,Rice
6,Lyndsey,Bean
7,Latasha,Hays
9,Genoveva,Baldwin
10,Pamelia,Newman
11,Deshawn,Mendoza
12,Robby,Sykes
13,Lashawn,Ortiz
14,Garry,Espinoza
15,Linnie,Branch
16,Emmitt,Sanchez
17,Caren,Stephens
18,Georgetta,Hardin
19,Lizzette,Stein
20,Aleta,Shepard
21,Tobie,Little
22,Adelle,Larsen
24,Corene,Wall
25,Regenia,Vaughan
26,Theo,Reese
27,Santos,Valencia
28,Jeanice,Frost
29,Syreeta,Hendricks
30,Jamaal,Albert
31,Williemae,Holloway
32,Araceli,Golden
33,Deloris,Burke
34,Brittney,Woodward
35,Guillermina,Noble
36,Bernita,Mcdaniel
37,Melia,Brady
38,Zelma,Browning
39,Janetta,Aguirre
40,Ronna,Butler
41,Kathie,Freeman
42,Tangela,Quinn
43,Mozelle,Carter
44,Onita,Johns
45,Bennett,Armstrong
46,Monika,Berg
47,Bridgette,Guerra
48,Cesar,Jackson
50,Cleotilde,Booth
51,Gertrud,Rhodes
52,Tu,Ramirez
53,Saturnina,Garner
54,Fran,Yang
55,Diana,Guerra
56,Lolita,Mosley
57,Pamala,Henry
58,Damien,Dorsey
59,Latasha,Stanley
60,Neil,Mccall
61,Elinore,Aguilar
62,Alica,Hunter
63,Tenisha,Lyons
64,Bobbie,Foster
65,Kanesha,Vega
66,Lorrie,Becker
67,Tommie,Melton
68,Jayne,Kirkland
69,Katelin,Kennedy
70,Tomasa,Carson
72,Petronila,Norris
73,Melanie,Hayes
75,Abby,Gamble
76,Parker,Prince
77,Keri,Bridges
78,Chi,Goff
79,Ashanti,Parks
80,Sarai,Mckee
81,Zina,Bonner
82,Lizzie,Joyner
83,Tiesha,Daniel
84,Armand,Whitehead
85,Teofila,Fischer
86,Lissa,Vargas
87,Yan,Mcgowan
88,Titus,Bullock
89,Arvilla,Osborn
90,Marjorie,Logan
91,Marvin,Mullins
92,Tena,Cruz
93,Corrina,Sawyer
94,Sharyn,Hopkins
95,Letitia,Franco
96,Floretta,Higgins
97,Louanne,Martin
98,Violet,Valenzuela
99,Carie,Kidd
101,Nichelle,Howell
102,Marisol,Goodman
103,Sylvie,Wilkerson
104,Katharina,Bates
105,Marget,Hodge
106,Raul,Melendez
107,Cecil,Hopper
108,Shae,Hickman
109,Monica,Sears
110,Ollie,Zimmerman
112,Yuk,Vega
113,Eliana,Silva
114,Thalia,Horne
115,Rey,Lindsay
116,Merlene,Vinson
118,Le,Wood
119,Thalia,Dillard
120,Luz,House
122,Shena,Carter
123,Robena,Hill
124,Jeni,Booker
125,Herlinda,Stone
126,Lavina,Dejesus
128,Terrance,Lynn
129,Walton,Dejesus
131,Tanesha,Hampton
132,Boyd,Irwin
133,Delbert,Wilkins
134,Brianna,Moss
135,Dorthey,Jackson
136,Sarita,Parks
138,Jone,Bernard
139,Wanita,Davenport
140,Cleopatra,Tate
143,Janae,Doyle
145,Miquel,Neal
146,Stefany,Potter
150,Weldon,Michael
151,Joesph,Delacruz
152,Katherina,Odom
153,Laraine,Robbins
155,Lory,Page
156,Charlyn,Cantrell
157,Carola,Rodriquez
158,Alane,Kennedy
159,Regina,Burns
161,Crystle,Gilliam
162,Kam,Wilder
163,Margert,Stevens
165,Jeromy,Burch
167,Loreta,Johnston
168,Nettie,Mcdaniel
169,Karla,Kirk
170,Regine,Gonzales
171,Miriam,Baker
172,Jeanie,Kirkland
173,Marquerite,Dawson
175,Nova,Hess
176,Carley,Reynolds
178,Genoveva,Tyler
179,Deane,Sears
181,Olevia,Pitts
182,Jenniffer,Bullock
184,Klara,Stanley
185,Morton,Lee
186,Ken,Charles
187,Hedwig,Paul
188,Sharla,Flynn
189,Damian,Dawson
190,Toya,Pratt
191,Graciela,Barber
192,Bong,Hebert
193,Ayanna,Rhodes
194,Dorine,Roberson
195,Addie,Hahn
196,Edythe,Valencia
197,Andy,O'neill
198,Luis,Tyler
199,Clelia,Workman
201,Candis,Harding
202,Marni,Bolton
203,Minerva,Decker
204,Alpha,King
205,Harris,Pittman
207,Michel,Blankenship
208,Denis,Logan
211,Gilma,Dejesus
212,Buford,Bridges
213,Elenore,Hensley
214,Ross,Pugh
215,Judith,Finley
216,Wai,Soto
217,Carline,Collier
218,Casey,Gill
220,Lucio,Sherman
222,Anya,Contreras
223,Scarlet,Yates
224,Moses,Pope
225,Barbera,Riggs
226,Kiana,Rivera
227,Danielle,Bond
230,Chelsey,Hardin
231,Jenee,Rasmussen
234,Winfred,Harris
235,Jeromy,Elliott
236,Verona,O'neill
238,Cindi,Larson
239,Felice,Guzman
240,Le,Deleon
241,Manie,Sanchez
242,Rutha,Howell
243,Natosha,Rowland
244,Jessika,Bray
245,Delila,Hamilton
246,Dionne,Norris
247,Muriel,Juarez
248,Cecelia,Gill
250,Ivonne,Yang
251,Kasie,Rodriquez
252,Eleni,Gordon
254,Cristobal,Hutchinson
255,Flossie,Holder
256,Erma,Salinas
257,Earl,Stanley
259,Johnathan,Velazquez
260,Rodrick,Shelton
261,Ferne,Kline
262,Rubin,Decker
263,Dortha,Jarvis
264,Mariela,Huffman
