customer_id,first_name,last_name,email,phone,purchased_products
1,Debra,Burks,debra.burks@yahoo.com,,"['Trek Conduit+ - 2016', 'Surly Straggler - 2016', ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", ""Electra Girl's Hawaii 1 (20-inch) - 2015/2016"", 'Electra Townie Original 21D - 2016', 'Surly Big Fat Dummy Frameset - 2018', 'Surly ECR 27.5 - 2018', 'Trek Domane SL Frameset - 2018', 'Trek Domane SLR Disc Frameset - 2018', ""Trek Domane SL 7 Women's - 2018"", ""Electra Heartchya 1 (20-inch) - Girl's - 2018""]"
2,Kasha,Todd,kasha.todd@yahoo.com,,"['Electra Moto 1 - 2016', 'Trek Domane SLR 6 Disc - 2017', 'Trek Domane S 5 Disc - 2017', 'Electra Cruiser Lux Fat Tire 1 Ladies - 2017', 'Surly Ice Cream Truck Frameset - 2017', 'Sun Bicycles ElectroLite - 2017', 'Sun Bicycles Lil Bolt Type-R - 2017', 'Electra Amsterdam Original 3i - 2015/2017', ""Electra Straight 8 3i (20-inch) - Boy's - 2017"", 'Electra Queen of Hearts 3i - 2018']"
3,Tameka,Fisher,tameka.fisher@aol.com,,"[""Trek Silque SLR 7 Women's - 2017"", 'Trek Madone 9.2 - 2017', ""Trek Precaliber 12 Boy's - 2018"", 'Electra Tiger Shark 3i - 2018', 'Electra Cruiser Lux 7D - 2018', 'Electra Delivery 3i - 2016/2017/2018', ""Electra Townie Original 7D EQ Ladies' - 2017/2018"", 'Electra Townie Original 1 - 2018', 'Sun Bicycles ElectroLite - 2017', ""Electra Townie 7D (20-inch) - Boys' - 2017"", ""Electra Townie Commute 8D Ladies' - 2018"", 'Electra Superbolt 1 20"" - 2018', ""Electra Tiger Shark 1 (20-inch) - Boys' - 2018""]"
4,Daryl,Spence,daryl.spence@aol.com,,"['Trek Slash 8 27.5 - 2016', 'Trek Boone Race Shop Limited - 2017', 'Pure Cycles William 3-Speed - 2016', 'Sun Bicycles ElectroLite - 2017', 'Trek Domane SL 6 - 2017', ""Electra Amsterdam Original 3i Ladies' - 2017"", ""Trek Kids' Neko - 2018"", ""Electra Koa 3i Ladies' - 2018"", 'Strider Strider 20 Sport - 2018']"
5,Charolette,Rice,charolette.rice@msn.com,(916) 381-6003,"['Surly Wednesday Frameset - 2016', 'Surly Straggler - 2016', 'Electra Moto 1 - 2016', 'Electra Townie Original 21D - 2016', 'Trek Fuel EX 8 29 - 2016', 'Trek Conduit+ - 2016', 'Sun Bicycles Cruz 7 - 2017', 'Trek XM700+ - 2018']"
6,Lyndsey,Bean,lyndsey.bean@hotmail.com,,"['Trek Slash 8 27.5 - 2016', 'Electra Cruiser 1 (24-Inch) - 2016', 'Haro SR 1.3 - 2017', 'Trek Conduit+ - 2016', 'Trek Fuel EX 9.8 29 - 2017', 'Trek Emonda ALR 6 - 2018', 'Surly Straggler 650b - 2018', ""Trek Precaliber 16 Girl's - 2018"", 'Trek Domane SL 6 - 2018', 'Electra Loft Go! 8i - 2018', ""Electra Morningstar 3i Ladies' - 2018""]"
7,Latasha,Hays,latasha.hays@hotmail.com,(716) 986-3359,"['Pure Cycles William 3-Speed - 2016', 'Electra Townie Original 7D EQ - 2016', 'Trek Crockett 7 Disc - 2018', ""Trek Precaliber 16 Girl's - 2018""]"
8,Jacquline,Duncan,jacquline.duncan@yahoo.com,,"['Electra Cruiser 1 (24-Inch) - 2016', ""Sun Bicycles Cruz 7 - Women's - 2017"", 'Electra Townie Commute 8D - 2018']"
9,Genoveva,Baldwin,genoveva.baldwin@msn.com,,"['Heller Shagamaw Frame - 2016', 'Surly Straggler 650b - 2016', 'Electra Townie Original 21D - 2016', 'Electra Amsterdam Royal 8i - 2017/2018', 'Trek Session DH 27.5 Carbon Frameset - 2017', ""Electra Savannah 3i (20-inch) - Girl's - 2017"", 'Sun Bicycles Cruz 7 - 2017', 'Trek Emonda SLR 8 - 2018', 'Trek Dual Sport+ - 2018']"
10,Pamelia,Newman,pamelia.newman@gmail.com,,"['Pure Cycles William 3-Speed - 2016', 'Surly Ice Cream Truck Frameset - 2017', 'Pure Cycles Vine 8-Speed - 2016', ""Trek Girl's Kickster - 2017"", 'Trek Fuel EX 8 29 XT - 2018', 'Trek Domane SLR 9 Disc - 2018', ""Electra Townie Original 7D EQ Ladies' - 2017/2018"", ""Electra Moto 3i (20-inch) - Boy's - 2017"", 'Sun Bicycles Streamway 7 - 2017', 'Electra Cruiser 7D Tall - 2016/2018', 'Electra Townie Balloon 8D EQ - 2016/2017/2018']"
11,Deshawn,Mendoza,deshawn.mendoza@yahoo.com,,"['Trek Domane S 5 Disc - 2017', 'Trek Precaliber 12 Boys - 2017', 'Trek Precaliber 16 Boys - 2017', 'Sun Bicycles Cruz 3 - 2017', 'Haro Shredder 20 Girls - 2017']"
12,Robby,Sykes,robby.sykes@hotmail.com,(516) 583-7761,"['Surly Straggler 650b - 2016', 'Electra Townie Original 7D EQ - 2016', ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", ""Trek Silque SLR 7 Women's - 2017"", 'Trek Powerfly 8 FS Plus - 2017', 'Sun Bicycles Cruz 7 - 2017', ""Trek Powerfly 5 Women's - 2018"", ""Electra Tiger Shark 1 (20-inch) - Boys' - 2018""]"
13,Lashawn,Ortiz,lashawn.ortiz@msn.com,,"['Trek Fuel EX 8 29 - 2016', 'Electra Townie Original 7D EQ - 2016', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Electra Cruiser 1 (24-Inch) - 2016', 'Haro SR 1.3 - 2017', 'Surly Wednesday Frameset - 2017', 'Trek Emonda S 5 - 2017', 'Sun Bicycles Streamway 3 - 2017']"
14,Garry,Espinoza,garry.espinoza@hotmail.com,,"['Trek Conduit+ - 2016', 'Pure Cycles Vine 8-Speed - 2016', 'Electra Cruiser 1 (24-Inch) - 2016', 'Electra Townie Original 21D - 2016', 'Trek Conduit+ - 2016', 'Trek Fuel EX 8 29 - 2018', 'Electra Townie Commute Go! - 2018', 'Electra Super Moto 8i - 2018', 'Electra Townie Original 21D EQ - 2017/2018']"
15,Linnie,Branch,linnie.branch@gmail.com,,"['Trek 820 - 2018', ""Electra Cruiser Lux 1 Ladies' - 2018"", 'Electra Townie Balloon 3i EQ - 2017/2018', 'Electra Townie Original 21D EQ - 2017/2018', 'Trek Superfly 24 - 2017/2018', 'Surly Troll Frameset - 2017', 'Trek Domane ALR Frameset - 2018']"
16,Emmitt,Sanchez,emmitt.sanchez@hotmail.com,(212) 945-8823,"['Surly Straggler 650b - 2016', ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", 'Electra Moto 1 - 2016', ""Electra Townie Original 7D EQ - Women's - 2016"", 'Trek Fuel EX 9.8 29 - 2017', 'Trek Emonda S 5 - 2017', 'Sun Bicycles Cruz 7 - 2017', 'Sun Bicycles Cruz 3 - 2017', 'Heller Shagamaw GX1 - 2018', 'Trek Fuel EX 8 29 XT - 2018', ""Electra Cruiser 1 Ladies' - 2018"", 'Electra Townie Commute Go! - 2018']"
17,Caren,Stephens,caren.stephens@msn.com,,"['Pure Cycles Vine 8-Speed - 2016', 'Surly Ice Cream Truck Frameset - 2016', ""Electra Girl's Hawaii 1 (16-inch) - 2015/2016"", ""Trek Kids' Neko - 2018"", 'Trek CrossRip 1 - 2018', ""Electra Townie Commute 8D Ladies' - 2018"", 'Electra White Water 3i - 2018']"
18,Georgetta,Hardin,georgetta.hardin@aol.com,,"['Surly Ice Cream Truck Frameset - 2016', ""Pure Cycles Western 3-Speed - Women's - 2015/2016"", 'Sun Bicycles Spider 3i - 2017', 'Surly Troll Frameset - 2017', 'Trek Superfly 20 - 2018', ""Electra Townie Balloon 3i EQ Ladies' - 2018"", 'Trek Ticket S Frame - 2018', 'Trek Domane ALR Disc Frameset - 2018', 'Trek XM700+ - 2018', ""Trek Precaliber 12 Boy's - 2018""]"
19,Lizzette,Stein,lizzette.stein@yahoo.com,,"['Electra Moto 1 - 2016', 'Trek Domane S 5 Disc - 2017', 'Haro Shredder 20 - 2017', 'Haro Shredder 20 Girls - 2017', ""Sun Bicycles Cruz 3 - Women's - 2017"", 'Trek Domane SLR 6 Disc - 2017', 'Sun Bicycles Atlas X-Type - 2017', 'Electra Cruiser Lux Fat Tire 1 Ladies - 2017', 'Haro Shredder 20 - 2017']"
20,Aleta,Shepard,aleta.shepard@aol.com,,"['Heller Shagamaw Frame - 2016', 'Trek Conduit+ - 2016', 'Surly Straggler 650b - 2016', 'Surly Straggler - 2016', 'Sun Bicycles Atlas X-Type - 2017', 'Electra Cruiser Lux 1 - 2016/2018']"
