customer_id,first_name,last_name,total_orders,customer_name
1,Debra,Burks,3,Debra Burks
2,Kasha,Todd,3,Kasha Todd
3,Tameka,Fisher,3,Tameka Fisher
4,Daryl,Spence,3,Daryl Spence
5,Charolette,Rice,3,Charolette Rice
6,Lyndsey,Bean,3,Lyndsey Bean
7,Latasha,Hays,3,Latasha Hays
8,Jacquline,Duncan,3,Jacquline Duncan
9,Genoveva,Baldwin,3,Genoveva Baldwin
10,Pamelia,Newman,3,Pamelia Newman
11,Deshawn,Mendoza,3,Deshawn Mendoza
12,Robby,Sykes,3,Robby Sykes
13,Lashawn,Ortiz,3,Lashawn Ortiz
14,Garry,Espinoza,3,Garry Espinoza
15,Linnie,Branch,3,Linnie Branch
16,Emmitt,Sanchez,3,Emmitt Sanchez
17,Caren,Stephens,3,Caren Stephens
18,Georgetta,Hardin,3,Georgetta Hardin
19,Lizzette,Stein,3,Lizzette Stein
20,Aleta,Shepard,3,Aleta Shepard
21,Tobie,Little,3,Tobie Little
22,Adelle,Larsen,2,Adelle Larsen
23,Kaylee,English,2,Kaylee English
24,Corene,Wall,3,Corene Wall
25,Regenia,Vaughan,2,Regenia Vaughan
26,Theo,Reese,2,Theo Reese
27,Santos,Valencia,2,Santos Valencia
28,Jeanice,Frost,2,Jeanice Frost
29,Syreeta,Hendricks,2,Syreeta Hendricks
30,Jamaal,Albert,3,Jamaal Albert
31,Williemae,Holloway,3,Williemae Holloway
32,Araceli,Golden,3,Araceli Golden
33,Deloris,Burke,3,Deloris Burke
34,Brittney,Woodward,2,Brittney Woodward
35,Guillermina,Noble,2,Guillermina Noble
36,Bernita,Mcdaniel,2,Bernita Mcdaniel
37,Melia,Brady,2,Melia Brady
38,Zelma,Browning,2,Zelma Browning
39,Janetta,Aguirre,2,Janetta Aguirre
40,Ronna,Butler,3,Ronna Butler
41,Kathie,Freeman,2,Kathie Freeman
42,Tangela,Quinn,2,Tangela Quinn
43,Mozelle,Carter,3,Mozelle Carter
44,Onita,Johns,2,Onita Johns
45,Bennett,Armstrong,2,Bennett Armstrong
46,Monika,Berg,3,Monika Berg
47,Bridgette,Guerra,3,Bridgette Guerra
48,Cesar,Jackson,2,Cesar Jackson
49,Caroll,Hays,2,Caroll Hays
50,Cleotilde,Booth,3,Cleotilde Booth
51,Gertrud,Rhodes,2,Gertrud Rhodes
52,Tu,Ramirez,2,Tu Ramirez
