first_name,last_name,categories
Debra,Burks,"['5', '4', '1', '2', '6', '7']"
Kasha,Todd,"['3', '7', '6', '5', '1']"
Tameka,Fisher,"['7', '1', '3', '2', '5']"
Daryl,Spence,"['6', '4', '3', '5', '7', '1']"
Charolette,Rice,"['6', '4', '3', '2', '5']"
Lyndsey,Bean,"['6', '3', '5', '7', '4', '1']"
Latasha,Hays,"['3', '2', '4', '1']"
Jacquline,Duncan,"['1', '2']"
Genoveva,Baldwin,"['6', '4', '3', '1', '2', '7', '5']"
Pamelia,Newman,"['3', '6', '1', '7', '2']"
Deshawn,Mendoza,"['7', '1', '2']"
Robby,Sykes,"['4', '3', '1', '7', '5']"
Lashawn,Ortiz,"['6', '3', '1', '7', '2']"
Garry,Espinoza,"['5', '3', '1', '2', '6']"
Linnie,Branch,"['6', '3', '1', '7']"
Emmitt,Sanchez,"['4', '3', '6', '7']"
Caren,Stephens,"['3', '6', '1', '7']"
Georgetta,Hardin,"['6', '3', '1', '2', '7', '5']"
Lizzette,Stein,"['3', '7', '1', '2']"
Aleta,Shepard,"['6', '5', '4', '3']"
Tobie,Little,"['4', '3', '7', '1', '2']"
Adelle,Larsen,"['4', '3', '2', '6']"
Corene,Wall,"['6', '3', '5', '1']"
Regenia,Vaughan,"['7', '4', '2', '3', '6', '1']"
Theo,Reese,"['4', '1', '3', '6', '7']"
Santos,Valencia,"['6', '3', '1', '2']"
Jeanice,Frost,"['5', '6', '3', '2', '7', '1']"
Syreeta,Hendricks,"['2', '6', '7', '3']"
Jamaal,Albert,"['3', '4', '1', '2']"
Williemae,Holloway,"['6', '3', '1', '5']"
Araceli,Golden,"['3', '4', '5', '7']"
Deloris,Burke,"['6', '3', '1', '7', '5']"
Brittney,Woodward,"['3', '7', '5']"
Guillermina,Noble,"['6', '1', '5', '7', '2']"
Bernita,Mcdaniel,"['6', '2', '3']"
Melia,Brady,"['6', '7', '5', '3', '1', '2']"
Zelma,Browning,"['6', '3', '1', '7', '5']"
Janetta,Aguirre,"['6', '2', '1', '7', '5', '3']"
Ronna,Butler,"['6', '3']"
Kathie,Freeman,"['1', '6', '3']"
Tangela,Quinn,"['3', '1', '2', '7']"
Mozelle,Carter,"['6', '3', '4', '7']"
Onita,Johns,"['1', '2', '3']"
Bennett,Armstrong,"['6', '3', '2']"
Monika,Berg,"['6', '5', '3', '2']"
Bridgette,Guerra,"['1', '2', '6', '7', '5', '3']"
Cesar,Jackson,"['6', '2', '1']"
Caroll,Hays,"['6', '2']"
Cleotilde,Booth,"['6', '3', '2', '1', '7']"
Gertrud,Rhodes,"['6', '4', '1']"
Tu,Ramirez,"['4', '3']"
Saturnina,Garner,"['6', '5', '4', '3', '1', '2']"
Fran,Yang,"['6', '3', '1', '7']"
