customer_name,product_name,quantity,store_name
Johnathan Velazquez,Trek Fuel EX 8 29 - 2016,1,Santa Cruz Bikes
Johnathan Velazquez,Trek Remedy 29 Carbon Frameset - 2016,2,Santa Cruz Bikes
Johnathan Velazquez,Surly Straggler - 2016,2,Santa Cruz Bikes
Johnathan Velazquez,Electra Townie Original 7D EQ - 2016,2,Santa Cruz Bikes
Johnathan Velazquez,Electra Townie Original 7D EQ - Women's - 2016,1,Santa Cruz Bikes
Jaqueline Cummings,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Jaqueline Cummings,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
Joshua Robertson,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
Joshua Robertson,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
Nova Hess,Ritchey Timberwolf Frameset - 2016,2,Santa Cruz Bikes
Arla Ellis,Surly Straggler - 2016,2,Baldwin Bikes
Arla Ellis,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
Arla Ellis,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
Sharyn Hopkins,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
Sharyn Hopkins,Trek Conduit+ - 2016,2,Baldwin Bikes
Sharyn Hopkins,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Sharyn Hopkins,Pure Cycles Western 3-Speed - Women's - 2015/2016,1,Baldwin Bikes
Sharyn Hopkins,Electra Townie Original 7D EQ - Women's - 2016,1,Baldwin Bikes
Laureen Paul,Surly Wednesday Frameset - 2016,1,Baldwin Bikes
Laureen Paul,Electra Moto 1 - 2016,1,Baldwin Bikes
Laureen Paul,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
Leslie Higgins,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
Leslie Higgins,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Neil Mccall,Trek Slash 8 27.5 - 2016,2,Santa Cruz Bikes
Alane Munoz,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Tarra Guerrero,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
Tarra Guerrero,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Tarra Guerrero,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Marvin Mullins,Trek Fuel EX 8 29 - 2016,2,Santa Cruz Bikes
Marvin Mullins,Surly Straggler 650b - 2016,1,Santa Cruz Bikes
Patience Clayton,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Patience Clayton,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Patience Clayton,Pure Cycles Vine 8-Speed - 2016,2,Baldwin Bikes
Patience Clayton,Electra Townie Original 7D EQ - Women's - 2016,2,Baldwin Bikes
Maribel William,Surly Ice Cream Truck Frameset - 2016,1,Santa Cruz Bikes
Ellsworth Michael,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
Ellsworth Michael,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Ellsworth Michael,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,Baldwin Bikes
Ellsworth Michael,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Lea Key,Trek Remedy 29 Carbon Frameset - 2016,1,Santa Cruz Bikes
Lea Key,Electra Cruiser 1 (24-Inch) - 2016,2,Santa Cruz Bikes
Lea Key,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
Lea Key,Electra Cruiser 1 (24-Inch) - 2016,1,Santa Cruz Bikes
Sindy Anderson,Heller Shagamaw Frame - 2016,1,Santa Cruz Bikes
Sindy Anderson,Trek Remedy 29 Carbon Frameset - 2016,1,Santa Cruz Bikes
Sindy Anderson,Electra Townie Original 7D EQ - Women's - 2016,2,Santa Cruz Bikes
Sindy Anderson,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,Santa Cruz Bikes
Lanita Burton,Ritchey Timberwolf Frameset - 2016,2,Santa Cruz Bikes
Lanita Burton,Trek Slash 8 27.5 - 2016,1,Santa Cruz Bikes
Lanita Burton,Trek Conduit+ - 2016,2,Santa Cruz Bikes
Lanita Burton,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
Lanita Burton,Electra Townie Original 7D - 2015/2016,2,Santa Cruz Bikes
Norine Huffman,Trek Conduit+ - 2016,2,Santa Cruz Bikes
Norine Huffman,Surly Straggler - 2016,1,Santa Cruz Bikes
Randee Pitts,Trek Conduit+ - 2016,1,Santa Cruz Bikes
Randee Pitts,Surly Straggler - 2016,2,Santa Cruz Bikes
Neoma Daugherty,Surly Straggler - 2016,1,Baldwin Bikes
Neoma Daugherty,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Neoma Daugherty,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
Tangela Hurley,Electra Moto 1 - 2016,2,Santa Cruz Bikes
Tangela Hurley,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Santa Cruz Bikes
Drucilla Gilliam,Trek Fuel EX 8 29 - 2016,2,Santa Cruz Bikes
Drucilla Gilliam,Electra Cruiser 1 (24-Inch) - 2016,1,Santa Cruz Bikes
Drucilla Gilliam,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Santa Cruz Bikes
Ashton Lott,Surly Wednesday Frameset - 2016,2,Baldwin Bikes
Ashton Lott,Pure Cycles Western 3-Speed - Women's - 2015/2016,2,Baldwin Bikes
Sam Lester,Surly Straggler - 2016,2,Baldwin Bikes
Sam Lester,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Sam Lester,Electra Cruiser 1 (24-Inch) - 2016,1,Baldwin Bikes
Sam Lester,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,Baldwin Bikes
Sam Lester,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,2,Baldwin Bikes
Jackeline Colon,Ritchey Timberwolf Frameset - 2016,1,Baldwin Bikes
Jackeline Colon,Trek Slash 8 27.5 - 2016,1,Baldwin Bikes
Jackeline Colon,Electra Townie Original 21D - 2016,1,Baldwin Bikes
Jackeline Colon,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Pamala Henry,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Pamala Henry,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
Pamala Henry,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
Pamala Henry,Electra Townie Original 7D EQ - 2016,2,Baldwin Bikes
Eleni Gordon,Heller Shagamaw Frame - 2016,1,Baldwin Bikes
Eleni Gordon,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
Eleni Gordon,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
Eleni Gordon,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Laureen Barry,Surly Ice Cream Truck Frameset - 2016,1,Baldwin Bikes
Laureen Barry,Trek Remedy 29 Carbon Frameset - 2016,1,Baldwin Bikes
Laureen Barry,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,2,Baldwin Bikes
Laureen Barry,Electra Cruiser 1 (24-Inch) - 2016,2,Baldwin Bikes
Laureen Barry,Electra Townie Original 21D - 2016,2,Baldwin Bikes
Yvone Guerrero,Trek Fuel EX 8 29 - 2016,1,Baldwin Bikes
Yvone Guerrero,Trek Slash 8 27.5 - 2016,2,Baldwin Bikes
Yvone Guerrero,Pure Cycles Vine 8-Speed - 2016,1,Baldwin Bikes
Yvone Guerrero,Pure Cycles William 3-Speed - 2016,1,Baldwin Bikes
Yvone Guerrero,Electra Townie Original 7D EQ - 2016,1,Baldwin Bikes
